;word
809;численность принятых членов перерабатывающего сельскохозяйственного потребительского кооператива из числа субъектов малого и среднего предпринимательства, включая крестьянские (фермерские) хозяйства 
810;численность членов кооператива
811;численность членов кооператива (по сельскохозяйственным потребительским кооперативам, за исключением перерабатывающих, снабженческо-сбытовых и кредитных)
812;численность членов кооператива по 2016 г.
813;численность членов кооператива с 2017 г.
814;численность членов перерабатывающих сельскохозяйственных потребительских кооперативов 
815;количество новых  членов кооператива (по сельскохозяйственным потребительским кооперативам, за исключением перерабатывающих, снабженческо-сбытовых и кредитных)
816;сумма наложенного штрафа
817;число дел об административных правонарушениях, возбужденных должностными лицами
818;число дел об административных правонарушениях, рассмотренных в установленном порядке
819;число выявленных правонарушений, связанных с незаконным производством и оборотом этилового спирта, алкогольной и спиртосодержащей  продукции
820;число проверок по выявлению незаконного производства и оборота этилового спирта, алкогольной и спиртосодержащей  продукции , в ходе которых выявлены правонарушения
821;число проверок по выявлению правонарушений, связанных с незаконным производством и оборотом этилового спирта, алкогольной и спиртосодержащей  продукции
822;число протоколов об административных правонарушениях, составленных по результатам проверок по выявлению незаконного производства и оборота этилового спирта и алкогольной продукции
823;число уголовных дел, возбужденных по результатам проверок по выявлению незаконного производства и оборота этилового спирта,  алкогольной и спиртосодержащей  продукции
824;доля городского населения в общей численности населения на 1 января
825;естественный  прирост
826;миграционный прирост
827;изменение численности населения в зонах радиоактивного загрязнения
828;структура численности постоянного населения на начало года (на 1 января) по полу и возрастным группам
829;валовой коэффициент охвата дошкольным образованием, в процентах от численности детей в возрасте 1-6 лет
830;обеспеченность детей дошкольного возраста местами в дошкольных образовательных организациях - количество мест на 1000 детей
831;обеспеченность детей дошкольного возраста местами в организациях, осуществляющих образовательную деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми, приходится мест на 1000 детей
832;охват детей дошкольным образованием
833;численность постоянного населения - мужчин по возрасту на 1 января
834;численность постоянного населения - женщин по возрасту на 1 января
835;миграционный прирост (прогноз)
836;ожидаемая продолжительность жизни при рождении (прогноз)
837;предположительная численность населения
838;число зарегистрированных браков (оперативные данные)
839;число зарегистрированных браков в расчете на 1000 населения (оперативные данные)
840;число зарегистрированных разводов (оперативные данные)
841;число зарегистрированных разводов в расчете на 1000 населения (оперативные данные)
842;число зарегистрированных умерших детей на первом году жизни по основным классам причин смерти (оперативные данные)
843;число зарегистрированных умерших детей на первом году жизни по основным классам причин смерти в расчете на 10000 родившихся живыми (оперативные данные)
844;число зарегистрированных умерших по основным классам и отдельным причинам смерти (оперативные данные)
845;число зарегистрированных умерших по основным классам и отдельным причинам смерти в расчете на 100000 населения (оперативные данные)
846;показатель ранней неонатальной смертности,  на 1000 родившихся живыми
847;смертность от всех причин, случаев на 1000 населения
848;число умерших детей на первом году жизни по основным классам причин смерти в расчете на 10000 родившихся живыми за год
849;число умерших на первом году жизни по основным классам причин смерти за год
850;число умерших по основным классам и отдельным причинам смерти в расчете на 100000 населения за год
851;число родившихся по возрасту матери и очередности рождения
852;возрастные коэффициенты смертности
853;ожидаемая продолжительность жизни при рождении
854;ожидаемая продолжительность жизни при рождении
855;смертность детей 0 - 17 лет на 100000 населения соответствующего возраста
856;смертность населения трудоспособного возраста (число умерших на 100 тыс.человек соответствующего возраста) от отдельных причин смерти.
857;выбыло населения по городам с числом жителей 100 тыс. человек и более
858;выбыло населения по полу, возрасту и направлениям передвижения в районах крайнего севера и местностях, приравненных к ним
859;выбыло населения по районам крайнего севера и местностям, приравненным к ним
860;коэффициент миграционного прироста (на 10 тыс. человек)
861;миграционный прирост населения по городам с числом жителей 100 тыс. человек и более
862;миграционный прирост населения по районам крайнего севера и местностям, приравненным к ним
863;миграционный прирост по полу, возрасту и направлениям передвижения в районах крайнего севера и местностях, приравненных к ним
864;прибыло населения по городам с числом жителей 100 тыс. человек и более
865;прибыло населения по полу, возрасту и направлениям передвижения в районах крайнего севера и местностях, приравненных к ним
866;прибыло населения по районам крайнего севера и местностям, приравненным к ним
867;распределение выбывших по возрастным группам
868;распределение миграционного прироста по возрастным группам мигрантов
869;распределение прибывших по возрастным группам
870;желаемое число детей
871;ожидаемое число детей
872;применение противозачаточных средств и обращение за услугами по охране репродуктивного здоровья женщин в возрасте 18-44 лет  (цур 5.6.1)
873;число опрошенных респондентов о репродуктивных планах населения
874;удельный вес  занимающихся физической культурой и спортом
875;удельный вес курящих
876;удельный вес употребляющих спиртные напитки
877;число опрошенных респондентов о поведенческих факторах, влияющих на состояние здоровья населения
878;доля населения, ведущего здоровый образ жизни
879;ожидаемая продолжительность здоровой жизни
880;структура денежных доходов по источникам формирования
881;структура использования денежных доходов
882;децильный коэффициент (соотношение минимальных доходов 10% наиболее обеспеченного населения и максимальных доходов 10% наименее обеспеченного населения)
883;распределение населения по величине среднедушевых денежных доходов
884;распределение общего объема денежных доходов по 20-ти процентным группам населения
885;величина прожиточного минимума
886;дефицит денежного дохода (в процентах)
887;дефицит денежного дохода в стоимостном выражении (до 1998 г. - в трлн.руб.)
888;численность населения с денежными доходами ниже величины прожиточного минимума
889;численность населения с денежными доходами ниже границы бедности
890;численность населения с денежными доходами ниже границы относительной бедности, в процентах от общей численности населения
891;дефицит денежных доходов в малоимущих домашних хозяйствах
892;дефицит располагаемых ресурсов в малоимущих домашних хозяйствах
893;распределение малоимущего населения по месту проживания
894;распределение малоимущего населения по месту проживания и  по основным  социально-экономическим характеристикам
895;распределение малоимущего населения по отношению к экономической активности
896;распределение малоимущего населения по социально-демографическим группам
897;распределение малоимущих домашних хозяйств по виду занимаемого жилья
898;среднедушевые денежные доходы в крайне бедных домашних хозяйствах
899;среднедушевые денежные доходы в малоимущих домашних хозяйствах
900;среднедушевые располагаемые ресурсы в малоимущих домашних хозяйствах
901;отношение среднемесячной номинальной начисленной заработной платы работников организаций к величине прожиточного минимума трудоспособного населения
902;соотношение среднего размера назначенных пенсий с величиной прожиточного минимума пенсионера
903;соотношение среднедушевых денежных доходов населения с величиной прожиточного минимума
904;соотношение среднемесячной номинальной начисленной заработной платы работников организаций с величиной прожиточного минимума трудоспособного населения
905;покупательная способность среднего размера назначенной пенсии
906;покупательная способность среднедушевых денежных доходов населения
907;покупательная способность среднемесячной номинальной начисленной заработной платы
908;общая численность пенсионеров
909;реальный размер назначенных пенсий
910;средний размер назначенных пенсий по категориям пенсионеров
911;численность пенсионеров
912;средний размер назначенных денежных выплат на человека
913;численность граждан, имеющих право на меры социальной поддержки за счет средств консолидированного бюджета субъекта российской федерации
914;численность получателей ежемесячных денежных выплат (едв)
915;доля лиц (домохозяйств), имеющих доступ к сети интернет
916;источники поступления  продуктов питания в домашних хозяйствах в среднем на потребителя в год 
917;калорийность потребленных продуктов питания, в среднем на члена домохозяйства в сутки
918;наличие предметов культурно-бытового назначения в домохозяйствах
919;потребительские расходы домашних хозяйств (всего, в том числе по видам расходов)
920;потребительские расходы домашних хозяйств в среднем на члена домохозяйства в год
921;потребление основных продуктов питания в среднем на потребителя в год
922;размер общей (полезной) площади на члена домохозяйства
923;располагаемые ресурсы домашних хозяйств
924;расходы на потребление, в среднем на члена домашнего хозяйства, в месяц
925;состав пищевых веществ в потребленных продуктах питания, в среднем на члена домохозяйства в сутки
926;стоимость питания по основным группам пищевых продуктов (в среднем на потребителя в месяц)
927;структура расходов домашних хозяйств на покупку продуктов питания и безалкогольных напитков
928;структура расходов на конечное потребление домашних хозяйств
929;удельный вес расходов домашних хозяйств на оплату жилищно-коммунальных услуг
930;индекс ожидаемых изменений цен (иоиц)
931;индекс ожидаемых изменений экономической ситуации через пять лет в россии
932;оценка респондентами состояния своего здоровья
933;распределение затрат времени на ведение домашнего хозяйства по видам деятельности
934;распределение свободного времени по видам деятельности
935;распределение суточного фонда времени по видам деятельности
936;распределение суточного фонда времени респондентами в среднем за день недели
937;источники поступления продуктов питания домохозяйства
938;частота потребления основных продуктов питания
939;доход от собственности
940;оценка респондентами доступности услуг
941;оценка респондентами качества  услуг
942;среднее количество видов занятий по дополнительным образовательным программам, посещаемым одним ребенком в возрасте от 5 до 18 лет
943;медианный среднедушевой доход 
944;граница бедности
945;объем бытовых услуг населению (оперативные данные) с 2017 г.
946;объем бытовых услуг населению в расчете на душу населения с 2017 г.
947;объем бытовых услуг населению по 2016 г.
948;объем платных услуг населению (оперативные данные) по 2016 г.
949;объем платных услуг населению (оперативные данные), с 2017 г.
950;объем платных услуг населению в расчете на душу населения с 2017 г.
951;объем платных услуг населению по 2016 г.
952;индекс физического объема бытовых услуг населению (в сопоставимых ценах в % к предыдущему году) по 2016 г.
953;индекс физического объема бытовых услуг населению (оперативные данные), в сопоставимых ценах в % к предыдущему году, с 2017 г. 
954;индекс физического объема платных услуг населению  (в сопоставимых ценах в % к предыдущему году) по 2016 г.
955;индекс физического объема платных услуг населению (оперативные данные), в сопоставимых ценах в % к предыдущему году, с 2017 г.
956;объекты бытового обслуживания населения по 2016 г.
957;приемные пункты бытового обслуживания населения, принимающие заказы от населения по 2016 г.
958;число объектов бытового обслуживания населения, оказывающих услуги, с 2017 г.
959;число приемных пунктов бытового обслуживания населения с 2017 г.
960;индекс предпринимательской уверенности
961;индекс предпринимательской уверенности с 2017 г.
962;оценка изменений объема оказанных услуг (в стоимостном выражении)
963;оценка изменения объема оказанных услуг (в стоимостном выражении) с 2017 г. 
964;оценка изменения спроса на услуги
965;оценка изменения спроса на услуги с 2017 г.
966;оценка изменения цен (тарифов) на услуги
967;оценка изменения цен (тарифов) на услуги с 2017 г.
968;оценка общей экономической ситуации в организации
969;оценка общей экономической ситуации в организации с 2017 г.
970;оценка тенденций изменения   экономической ситуации
971;оценка тенденций изменения экономической ситуации с 2017 г.
972;факторы, ограничивающие развитие деятельности организации в сфере услуг
973;доля ветхого и аварийного жилищного фонда в общем объеме жилищного фонда субъекта российской федерации 
974;доля населения, проживающего в аварийном и ветхом жилищном фонде, в общей численности населения российской федерации
975;доля площади жилищного фонда, обеспеченного всеми видами благоустройства, в общей площади жилищного фонда субъекта российской федерации
976;доля семей, обеспеченных жильем,  от  количества семей, состоявших на учете по состоянию на 2011 год
977;количество молодых семей, улучшивших жилищные условия
978;количество молодых семей, улучшивших жилищные условия (нарастающим  итогом)
979;количество семей граждан, улучшивших жилищные условия
980;общая заселенная площадь, купленная семьями, состоящими на учете в качестве нуждающихся в жилых помещениях
981;общая заселенная площадь, полученная по договорам социального найма
982;общая площадь капитально отремонтированных жилых домов
983;общая площадь капитально отремонтированных многоквартирных жилых домов
984;общая площадь капитально отремонтированных помещений в квартирах
985;общая площадь капитально отремонтированных помещений в квартирах жилых домов, где проведена реконструкция
986;общие затраты на капитальный ремонт
987;общие затраты на капитальный ремонт многоквартирных жилых домов
988;распределение жилищного фонда по материалам стен
989;снесено общей площади жилищного фонда по ветхости и аварийности
990;число проживающих в жилищном фонде, оборудованном водопроводом
991;число проживающих в жилищном фонде, оборудованном водопроводом, в сельской местности
992;число семей, выселенных из жилых помещений
993;число семей, получивших жилое помещение по договорам социального найма из состоявших на учете в качестве нуждающихся в улучшении жилищных условий
994;возмещение гражданами, имеющими прямые договоры с ресурсоснабжающими организациями, затрат по оплате коммунальных услуг по установленным для населения тарифам
995;дебиторская задолженность исполнителей коммунальных услуг
996;дебиторская задолженность организаций, оказывающих жилищно-коммунальные услуги
997;дебиторская задолженность ресурсоснабжающих организаций
998;кредиторская задолженность исполнителей коммунальных услуг
999;кредиторская задолженность организаций, оказывающих жилищно-коммунальные услуги
1000;кредиторская задолженность ресурсоснабжающих организаций
1001;начислено (предъявлено) жилищно-коммунальных платежей населению
1002;начислено (предъявлено) коммунальных платежей гражданам, имеющим прямые договоры с ресурсоснабжающими организациями
1003;начислено (предъявлено) населению платежей за жилое помещение, капитальный ремонт и коммунальные услуги
1004;общая площадь жилых помещений в многоквартирных жилых домах, в которые поставляется тепловая энергия
1005;общая площадь многоквартирных жилых домов, в которые поставляется тепловая энергия
1006;общая площадь многоквартирных жилых домов, в которые поставляется электрическая энергия
1007;общая площадь помещений общего пользования в многоквартирных жилых домах, в которые поставляется электрическая энергия
1008;общая сумма доходов исполнителей коммунальных услуг с учетом финансирования из бюджетов всех уровней
1009;общая сумма доходов организаций, оказывающих жилищно-коммунальные услуги с учетом финансирования из бюджетов всех уровней
1010;общая сумма доходов ресурсоснабжающих организаций с учетом финансирования из бюджетов всех уровней
1011;общая сумма расходов исполнителей коммунальных услуг
1012;общая сумма расходов организаций, оказывающих жилищно-коммунальные услуги
1013;общая сумма расходов ресурсоснабжающих организаций
1014;объем средств, предусмотренных на предоставление социальной поддержки гражданам, выплаченных в денежной форме (через банковские счета в банках, организации связи или иным способом)
1015;объем средств, предусмотренных на предоставление социальной поддержки по оплате жилого помещения и коммунальных услуг
1016;отпущено горячей воды
1017;отпущено горячей воды населению, проживающему в многоквартирных жилых домах
1018;отпущено сетевого газа ресурсонабжающими организациями
1019;отпущено сжиженного газа ресурсонабжающими организациями
1020;отпущено тепловой энергии  гражданам, имеющим прямые договоры с ресурсоснабжающими организациями, проживающим  в многоквартирных домах
1021;отпущено тепловой энергии на горячее водоснабжение
1022;отпущено тепловой энергии на отопление
1023;отпущено тепловой энергии населению, проживающему в многоквартирных жилых домах
1024;отпущено теплоэнергии ресурсонабжающими организациями
1025;отпущено холодной воды
1026;отпущено холодной воды населению, проживающему в многоквартирных жилых домах
1027;отпущено электрической энергии
1028;отпущено электрической энергии на использование и содержание общего имущества в многоквартирных домах для граждан, имеющих прямые договоры с ресурсоснабжающими организациями
1029;отпущено электрической энергии на общедомовые нужды многоквартирных жилых домов
1030;отпущено электрической энергии населению, проживающему в многоквартирных жилых домах
1031;отпущено электрической энергии ресурсонабжающими организациями
1032;подано тепловой энергии населению, проживающему в многоквартирных домах
1033;подано электрической энергии населению, проживающему в многоквартирных домах на использование и содержание общего имущества в многоквартирных домах
1034;размер платы ресурсоснабжающих организаций, рассчитанный по экономически обоснованным тарифам
1035;среднемесячный размер начисленных субсидий на семью
1036;среднемесячный размер социальной поддержки на одного пользователя
1037;сумма субсидий, выплаченная  населению в денежной форме (через банковские счета в банках, организации связи  или иным способом) на оплату жилого помещения и коммунальных услуг
1038;сумма субсидий, начисленная населению на оплату жилого помещения и коммунальных услуг
1039;темп изменения объема потребления холодного и горячего водоснабжения по сравнению с предшествующим годом
1040;уровень возмещения населением затрат по предоставлению жилищно-коммунальных услуг
1041;установленный уровень возмещения гражданами, имеющими прямые договора с ресурсоснабжающими организациями, затрат по предоставлению коммунальных услуг
1042;установленный уровень возмещения населением затрат за предоставленные жилищно-коммунальные услуги
1043;фактически оплачено  коммунальных платежей,  гражданами, имеющими прямые договоры с ресурсоснабжающими организациями
1044;фактически оплачено населением жилищно-коммунальных услуг
1045;фактически оплачено населением платежей за жилое помещение, капитальный ремонт и коммунальные услуги
1046;фактические объемы финансирования из бюджетов всех уровней  ресурсоснабжающих организаций
1047;численность граждан, получающих социальную поддержку в денежной форме (через банковские счета в банках, организации связи или иным способом)
1048;численность граждан, пользующихся социальной поддержкой по оплате жилья и коммунальных услуг
1049;число семей, получавших субсидии в денежной форме (через банковские счета в банках, организации связи или иным способом) на оплату жилого помещения и коммунальных услуг
1050;число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг
1051;введено источников теплоснабжения
1052;введено источников теплоснабжения (с учетом принятых от других организаций)
1053;доля сточных вод, очищенных до нормативных значений, в общем объеме сточных вод, пропущенных через очистные сооружения
1054;доля уличной водопроводной сети, нуждающейся в замене, в общей протяженности уличной водопроводной сети
1055;доля уличной канализационной сети, нуждающейся в замене, в общей протяженности уличной канализационной сети
1056;заменено тепловых и паровых сетей в двухтрубном исчислении
1057;затраты на мероприятия по энергосбережению в организациях коммунального комплекса, осуществляющих снабжение населения и  бюджетофинансируемых организаций теплоэнергией
1058;затраты на мероприятия по энергосбережению в организациях коммунального комплекса, осуществляющих централизованный отвод сточных вод от населения и  бюджетофинансируемых организаций
1059;затраты на мероприятия по энергосбережению в организациях коммунального комплекса, отпускающих воду населению и бюджетофинансируемым организациям
1060;количество котлов (энергоустановок)
1061;количество специальных малых газовых отопительных котлов
1062;ликвидировано источников теплоснабжения
1063;ликвидировано источников теплоснабжения (с учетом переданных другим организациям)
1064;мощность сооружений по обработке осадка
1065;отпущено воды всем потребителям
1066;отпущено тепловой энергии другому предприятию (перепродавцу)
1067;отпущено тепловой энергии потребителям
1068;передано источников теплоснабжения другим организациям
1069;подано воды в сеть
1070;получено источников теплоснабжения от других организаций
1071;получено тепловой энергии со стороны
1072;потери тепловой энергии
1073;произведено тепловой энергии
1074;произведено тепловой энергии когенерационными тепловыми установками
1075;произведено электрической энергии когенерационными тепловыми установками
1076;пропущено воды через очистные сооружения
1077;пропущено сточных вод
1078;пропущено сточных вод через очистные сооружения
1079;протяженность ветхих тепловых и паровых сетей, нуждающихся в замене
1080;протяженность водопроводных сетей
1081;протяженность водопроводных сетей в сельской местности, в том числе нуждающихся в замене
1082;протяженность канализационных сетей
1083;протяженность тепловых и паровых сетей в двухтрубном исчислении
1084;протяженность тепловых и паровых сетей в двухтрубном исчислении, нуждающихся в замене
1085;расход топлива по норме на весь объем производственных ресурсов
1086;расход топлива фактически на весь объем производственных ресурсов
1087;расход электроэнергии на весь объем произведенных ресурсов  в организациях коммунального комплекса, отпускающих воду населению и бюджетофинансируемым организациям
1088;расход электроэнергии на весь объем произведенных ресурсов в организациях коммунального комплекса, осуществляющих централизованный отвод сточных вод от населения и  бюджетофинансируемых организаций
1089;расход электроэнергии по норме на весь объем производственных ресурсов
1090;расход электроэнергии фактически на весь объем производственных ресурсов
1091;суммарная мощность источников теплоснабжения
1092;установленная мощность канализационных насосных станций
1093;установленная производственная мощность водопровода
1094;установленная производственная мощность очистных сооружений
1095;установленная пропускная способность очистных сооружений
1096;утечка и неучтенный расход воды
1097;число аварий в системе водопровода
1098;число аварий в системе канализации
1099;число аварий на источниках теплоснабжения
1100;число аварий на источниках теплоснабжения, паровых и тепловых сетях
1101;число аварий на канализационных сетях
1102;число аварий на паровых и тепловых сетях
1103;число источников теплоснабжения по видам топлива
1104;число источников теплоснабжения по мощности
1105;число источников теплоснабжения по типу договоров
1106;число канализаций и отдельных канализационных сетей
1107;число населенных пунктов, имеющих водопровод
1108;число населенных пунктов, имеющих водопровод, в процентах от их общего числа
1109;число населенных пунктов, имеющих канализацию
1110;число населенных пунктов, имеющих канализацию, в процентах от их общего числа
1111;число отдельных канализационных сетей
1112;экономия от проведенных мероприятий по энергосбережению  в организациях коммунального комплекса, отпускающих воду населению и бюджетофинансируемым организациям
1113;экономия от проведенных мероприятий по энергосбережению в организациях коммунального комплекса, осуществляющих снабжение населения и  бюджетофинансируемых организаций теплоэнергией
1114;экономия от проведенных мероприятий по энергосбережению в организациях коммунального комплекса, осуществляющих централизованный отвод сточных вод от населения и  бюджетофинансируемых организаций
